user,answer_id,answer_valence,answer_arousal,gsr_peak_time,gsr_peak_valu,heartrate_ratio
1400,66,3.8,3.9,891,-0.7453124953,0.7935368043
1400,67,1.9,3.3,679,-0.7254882839,0.8571428571
1400,68,3.0,3.0,487,-1.165185547,0.911360799
1400,69,3.9,2.5,807,0.1386230497,0.9119170984
1400,71,2.6,3.2,874,-0.6110839887,0.8272785214
1400,72,2.3,3.3,596,-0.5156982471,0.7217968351
1400,78,3.5,3.4,581,-0.1271972694,0.8936627282
1400,81,3.0,4.0,343,-0.02346191221,0.8656898657
1402,60,4.3,4.3,339,0.02050781744,0.8833570413
1402,61,1.7,4.2,367,-0.3321777376,0.8669467787
1402,62,1.7,1.7,285,0.03371581716,0.8713872832
1402,63,1.7,1.6,381,-3.276074221,0.8441717791
1402,64,4.3,4.2,1344,2.008251951,0.9033189033
1402,66,4.2,1.7,620,-0.2204101558,0.9590163934
1402,67,1.2,3.1,1386,-0.5390624971,0.940085592
1402,68,3.1,1.2,326,-0.2262451142,0.8420310296
1402,69,1.7,4.2,402,-0.4618408198,0.9223684211
1402,70,1.2,3.1,1892,0.5623779359,0.9026425591
1402,71,1.2,2.9,787,-0.01789551011,0.9291784703
1402,72,1.6,1.6,660,0.00527343477,0.8934147997
1402,73,1.6,4.4,333,-0.04020996296,0.9324155194
1402,74,1.2,3.0,593,0.08015137067,0.8368600683
1402,75,4.3,1.6,472,0.2223388685,0.8509803922
1402,76,4.7,3.0,352,-0.7800537092,0.8995756719
1402,77,3.0,3.0,460,-0.01440429592,0.8675981371
1402,78,3.0,3.0,589,-0.06496581635,0.9656084656
1402,79,1.2,2.9,259,-0.2411865223,0.9138888889
1402,82,1.8,1.7,929,0.00720215215,0.9382550336
1402,84,1.7,1.7,309,-0.05949707567,0.8764629389
1402,85,2.1,3.0,355,-0.2738525357,0.9153645833
1402,86,2.3,2.1,433,0.1206298829,0.9665427509
1402,87,1.3,3.0,2067,0.202807617,0.9126934985
1402,88,4.4,4.3,539,0.08749999727,0.8775510204
1402,90,2.2,2.9,260,-0.05541992412,0.9396709324
1402,92,1.2,2.9,744,-0.01411132372,0.8563458856
1402,93,1.3,3.1,390,-0.06662597799,0.8408937035
1402,94,1.6,1.8,519,-0.04924316517,0.9363241679
1402,95,1.8,4.3,607,-0.01267090245,0.8798017348
1402,96,4.2,4.2,332,0.415039,0.715984148
1402,97,3.0,3.0,819,-0.04367676047,0.9046997389
1402,100,1.4,3.0,655,-0.05856933673,0.9565217391
1402,105,4.5,3.0,1111,-0.01220703167,0.9254658385
1402,106,3.1,4.0,342,0.0138671909,0.9287564767
1402,110,1.8,1.7,183,-0.04226074364,0.9237445753
1402,112,3.0,3.0,169,-0.01208495648,0.7933425798
1402,113,4.9,3.0,394,0.04162597725,0.9110225764
1402,115,4.2,4.4,193,0.00654296379,0.961101137
1402,117,2.5,3.0,603,0.06420898438,0.9232704403
1402,118,4.8,3.0,390,-0.0102294949,0.9549689441
1402,119,3.0,4.2,411,0.02102050952,0.9295774648
1437,0,3.2,3.3,411,-0.02487792968,0.9111842105
1437,2,2.6,3.7,240,-0.0249023437,0.93
1437,3,2.1,3.4,381,-0.02480468747,0.9200542005
1437,4,2.8,3.5,794,1.009106447,0.8601997147
1437,5,2.4,3.8,399,-0.6040527351,0.9336283186
1437,6,3.0,3.8,1378,0.4255126907,0.8045515395
1437,7,2.4,3.7,713,-0.2047119157,0.7942521228
1437,8,3.8,3.6,600,-1.102246098,0.9458762887
1437,9,2.1,3.8,211,1.045825196,0.9305949008
1437,10,2.4,3.7,391,-2.789086913,0.9078771696
1437,12,2.8,3.7,825,0.1138427674,0.9117259552
1437,14,2.7,3.4,1644,2.476513673,0.942109437
1437,16,3.0,3.4,441,-1.12341309,0.945026178
1437,17,3.8,3.3,437,-0.6320312538,0.9189542484
1437,19,2.8,3.3,317,-0.2642578082,0.9302022179
1437,20,3.6,3.5,435,0.00456542588,0.8795180723
1437,21,2.3,3.7,955,-0.05942383291,0.8959390863
1437,22,2.1,3.7,5253,0.8927978577,0.8573551263
1437,27,3.4,3.6,369,-0.1351562474,0.8900369004
1437,29,3.0,2.8,361,-0.1297607395,0.9319371728
1437,30,3.0,2.9,1032,0.036572268,0.9506024096
1437,34,2.7,3.3,768,0.07949218775,0.7975376197
1437,35,3.0,3.2,380,0.0657959012,0.8442622951
1437,37,3.1,3.4,301,-0.8930664054,0.9455830389
1437,38,2.8,3.1,909,0.4280029339,0.9052247874
1437,39,1.8,2.9,738,0.03518066156,0.9167671894
1437,42,2.3,3.1,805,0.04592285551,0.9134438306
1437,44,1.9,3.5,920,0.0213867223,0.912364946
1437,45,3.7,3.4,1440,0.577172852,0.7515299878
1437,49,2.5,3.2,219,0.04301757931,0.8973277075
1437,51,3.0,3.1,700,-0.374755855,0.905752754
1437,52,2.6,3.2,520,-0.1876953119,0.3889246619
1437,53,2.4,3.1,579,-0.7199707052,0.8409090909
1437,58,2.6,3.4,496,-0.1573730512,0.8638613861
1437,59,2.5,3.4,1961,0.2175537083,0.8994845361
1507,3,1.2,3.0,745,0.06469726477,0.8934081346
1507,6,1.7,4.1,476,-0.2587890611,0.9330572809
1507,13,2.9,1.3,4186,0.4348144533,0.9293948127
1507,14,1.7,4.3,1028,0.00991211347,0.9228687415
1507,15,1.8,4.3,525,-0.07419433867,0.9449152542
1507,17,1.4,2.9,264,-0.1352294935,0.8668555241
1507,18,1.8,4.4,403,-0.2701415986,0.8793103448
1507,19,4.2,1.7,810,-0.1911132833,0.9150877193
1507,21,1.3,3.0,871,-0.1324462942,0.8780487805
1507,23,1.7,4.2,582,-0.07641601574,0.8995403808
1507,26,1.6,1.8,3130,0.8542236306,0.9287709497
1507,27,1.1,3.1,383,-0.09765625032,0.8872483221
1507,28,4.7,3.0,1604,0.09616699508,0.9040333797
1507,31,4.4,1.8,130,-0.00373535168,0.96
1507,32,1.2,3.1,602,1.529711917,0.8894878706
1507,34,3.0,3.0,827,-0.1061279286,0.9115168539
1507,36,4.3,4.3,341,-0.2909179653,0.9139941691
1507,37,1.7,1.6,841,-0.08051758059,0.9460227273
1507,39,1.7,4.4,524,-0.00502929669,0.8606224628
1507,40,3.0,3.0,140,-0.07028808191,0.9191073919
1507,41,1.6,1.8,1500,0.5353027333,0.9497450838
1507,42,1.6,1.5,2399,0.5921630849,0.8589928058
1507,48,1.7,1.5,1038,-0.1150634703,0.9111111111
1507,51,1.8,1.6,790,0.2966796851,0.9211935731
1507,53,1.8,4.2,264,-0.01420898759,0.9174061433
1507,54,4.3,4.3,403,-0.3783203151,0.9315263909
1507,56,1.2,3.0,1408,0.2635253933,0.9240596167
1507,58,1.8,4.3,921,0.04335937168,0.9320252278
1507,59,1.3,3.0,2220,0.3648681639,0.9315455187
1516,60,1.6,4.3,274,-0.03564453265,0.8943089431
1516,61,4.3,4.3,645,-0.08566894241,0.9072948328
1516,62,4.4,1.6,449,-0.16430664,0.8153730219
1516,63,4.4,1.7,257,-0.07766113684,0.8909090909
1516,64,2.9,1.2,545,0.02368163644,0.7364280094
1516,65,4.2,1.8,334,-0.04821777263,0.9355345912
1516,66,1.7,4.3,990,-0.04094238012,0.9588414634
1516,67,4.7,3.0,550,0.00898437246,0.9720930233
1516,68,4.4,4.2,594,-0.0247558635,0.5360474979
1516,69,1.7,4.3,377,-0.0438720726,0.9086576648
1516,70,4.8,3.0,337,-0.0065673821,0.7130961393
1516,71,1.7,1.7,624,-0.09448242223,0.9404069767
1516,72,4.2,1.7,489,-0.02238769112,0.9593360996
1516,73,1.7,1.7,495,0.02897948991,0.9265785609
1516,74,1.7,1.8,1469,0.06682129005,0.911849711
1516,75,1.8,1.7,934,0.07751464636,0.9246861925
1516,76,1.4,3.1,356,0.1035644493,0.9064638783
1516,77,1.2,3.0,2485,0.01918945338,0.8970588235
1516,78,4.4,1.8,353,-0.1749023404,0.5946348733
1516,79,4.6,2.5,346,0.1198730499,0.925872093
1516,80,4.4,4.3,422,-0.0710205036,0.9323899371
1516,81,1.7,4.3,189,-0.05197753421,0.9599383667
1516,83,4.4,4.3,347,-0.02856445043,0.9153354633
1516,84,4.4,4.4,451,-0.02128906445,0.929098966
1516,85,4.9,3.1,1045,0.02060546683,0.9686098655
1516,86,1.3,2.9,1509,0.02014159774,0.9666136725
1516,87,2.2,3.8,2493,0.0487793004,0.893081761
1516,88,3.8,3.9,597,0.04919433405,0.9347996858
1516,89,2.0,2.2,419,-0.00090331735,0.885341074
1516,90,2.0,2.2,1221,-0.01391601211,0.4463190184
1516,91,2.4,3.4,3208,0.02470703174,0.3542435424
1516,92,3.9,2.6,461,-0.08120117397,0.9301587302
1516,93,4.1,3.0,450,-0.00034179367,0.953125
1516,94,1.6,4.3,3151,0.02387695396,0.9716908952
1516,95,3.6,3.7,3365,0.02585449706,0.8852988691
1516,96,4.3,4.4,455,-0.02829589432,0.7431264729
1516,97,1.8,1.6,548,0.142651365,0.9509658247
1516,98,4.4,1.7,729,0.03088379059,0.9154607768
1516,99,2.4,2.4,808,0.01374511972,0.9558823529
1516,100,2.6,2.5,1252,-0.017626948,0.9685628743
1516,101,1.7,4.3,133,0.05185546931,0.9546120059
1516,102,2.3,2.4,410,0.01328124555,0.9202363368
1516,103,1.7,1.5,613,0.191284178,0.8131868132
1516,104,4.4,1.7,501,-0.02431640687,0.3071104387
1516,105,4.8,3.0,633,0.09365234213,0.9509658247
1516,106,4.5,4.4,700,-0.08291015566,0.9775641026
1516,108,1.7,1.7,717,0.1251708967,0.9712509713
1516,109,1.3,2.9,450,0.06372070104,0.9210134128
1516,110,1.6,1.7,208,-0.02707519784,0.9305331179
1516,111,1.6,1.7,443,0.02573242543,0.6300246103
1516,112,4.3,1.6,760,0.01706542711,0.9317507418
1516,113,2.4,3.6,156,-0.01789550692,0.9577922078
1516,114,2.1,3.5,499,-0.05688476198,0.7337883959
1516,115,1.7,1.7,259,0.02473144991,0.8888888889
1516,116,1.6,1.6,552,-0.0964599625,0.6464646465
1516,117,1.6,1.8,618,0.07622070625,0.9166666667
1516,118,2.0,2.8,505,0.05046386716,0.6347402597
1516,119,2.1,3.6,458,0.08342285288,0.6545166403
1809,60,3.3,3.5,1186,-0.01586914309,0.653968254
1809,62,2.9,3.4,1459,-0.1616943332,0.6444444444
1809,63,1.8,4.4,362,-0.268066405,0.5554035568
1809,64,2.4,3.7,390,-0.01748046815,0.2794871795
1809,65,3.5,3.9,401,0.1065185501,0.5771428571
1809,66,3.1,3.6,1459,-0.1832275439,0.5976331361
1809,67,2.9,3.2,246,0.1731445313,0.4903381643
1809,68,2.9,3.4,348,-0.1043945286,0.4642857143
1809,69,3.0,3.0,349,-0.1548095674,0.4862842893
1809,72,3.2,3.5,281,-0.1141601526,0.5437415882
1809,73,3.2,3.4,390,-0.07189941129,0.303030303
1809,74,3.2,3.2,263,0.0008056613,0.2491103203
1809,75,2.4,3.4,1177,-0.06567382556,0.5605442177
1809,76,2.9,3.6,375,-0.0781249971,0.1887254902
1809,77,3.0,3.5,361,0.08662109117,0.5085714286
1809,78,2.7,3.6,459,-0.04982910124,0.5183016105
1809,104,2.9,2.7,342,-0.03120117392,0.5942857143
1809,105,2.0,3.9,664,0.2335693378,0.5314136126
1809,106,1.9,4.1,1697,-0.04704590263,0.4917257683
1809,107,3.8,3.5,1285,-0.1883300795,0.5844504021
1809,108,3.2,3.3,379,0.3065429717,0.6235632184
1809,109,2.5,3.1,258,-0.1547851525,0.1153846154
1809,110,2.5,3.1,248,0.1974121077,0.4334705075
1809,111,2.7,2.8,348,0.1984130859,0.6044444444
1809,113,2.9,3.2,195,0.04421386256,0.1022146508
1809,114,3.2,3.2,468,0.1514648445,0.570212766
1809,115,2.2,3.4,383,0.01887207126,0.5642458101
1809,116,3.3,3.2,464,0.04606933635,0.2950819672
1809,117,3.5,2.8,358,0.1903320268,0.4468085106
1809,118,3.0,3.2,501,0.00664062239,0.5633802817
1809,119,3.3,3.1,371,-0.05332031009,0.67752443
2006,1,1.3,3.0,1058,-0.05156250535,0.8850889193
2006,2,4.3,4.3,983,-0.1013183596,0.9236111111
2006,3,1.3,2.9,818,0.08759765714,0.944598338
2006,4,4.2,4.2,150,-0.1118652336,0.9527665317
2006,5,4.2,4.3,491,4.88E+00,0.9197183099
2006,7,4.8,3.1,956,-0.03486327791,0.9382540809
2006,8,4.2,4.4,1128,-0.1811035151,0.8253968254
2006,9,3.1,4.6,1155,0.1526367222,0.8952380952
2006,10,1.6,4.2,821,0.05729980371,0.8678977273
2006,11,1.6,1.6,272,-0.07695312489,0.938221317
2006,12,4.2,1.7,367,-0.2420410114,0.93314367
2006,14,4.9,3.0,1173,-0.03625488401,0.9579600276
2006,15,4.2,1.6,284,-0.02189941916,0.8966005666
2006,19,1.3,3.1,1490,0.0295165995,0.9426573427
2006,20,3.0,1.4,304,-0.0835937513,0.9090909091
2006,21,4.6,3.0,116,-0.1038574185,0.9332386364
2006,22,3.0,4.8,355,0.01171874973,0.9067278287
2006,24,3.0,3.0,941,-0.05122070487,0.9208534067
2006,25,1.4,3.0,358,0.09091796908,0.9284671533
2006,26,4.1,3.0,364,-0.1024414011,0.8198324022
2006,27,4.7,3.2,1259,0.00354003815,0.8906030856
2006,28,2.4,3.0,289,0.01818847741,0.8633308439
2006,29,4.0,3.4,479,0.1247558603,0.9219330855
2006,31,3.0,3.7,1794,0.00307617533,0.8859527121
2006,32,4.2,4.2,249,-0.04421386856,0.9470672389
2006,33,4.8,3.0,255,-0.1590087869,0.9241573034
2006,34,3.9,2.5,552,-0.09562988247,0.9582043344
2006,35,2.1,3.2,394,-0.02502441425,0.9831460674
2006,36,5.0,5.0,589,0.02973632627,0.4164687253
2006,37,3.0,3.5,335,-0.01643066259,0.9378057303
2006,38,4.5,3.9,1096,0.1095214844,0.584592145
2006,39,3.4,3.8,206,-0.00803222597,0.8018804567
2006,42,3.0,2.3,289,-0.01115722239,0.8429510592
2006,43,3.8,3.6,527,-0.07177734239,0.8868194842
2006,45,3.0,3.4,223,-0.00524902571,0.9293948127
2006,46,2.3,3.3,481,-0.0392578085,0.9598308668
2006,47,3.0,3.0,278,-0.00942382663,0.9177304965
2006,48,2.4,2.2,288,0.00214843722,0.6417704011
2006,49,1.6,4.0,1512,0.0756347714,0.8795731707
2006,50,4.1,4.7,1718,0.04465332156,0.9557774608
2006,51,3.7,5.0,324,-0.08767089513,0.8807588076
2006,52,3.0,3.8,404,-0.04794921393,0.5986842105
2006,54,4.1,3.4,372,0.00349120969,0.9053213545
2006,56,3.0,3.5,177,-0.07978515832,0.9422283356
2006,58,1.5,4.4,548,0.00678710854,0.8867268937
2006,59,3.0,2.5,717,0.01599120908,0.8861788618
2070,60,1.0,3.9,1582,0.7992431704,0.1204819277
2070,61,1.2,4.0,397,-0.1305664047,0.820754717
2070,62,2.8,3.4,966,0.01381836282,0.9122807018
2070,63,3.2,2.6,656,-0.05949706592,0.7560823456
2070,64,2.8,3.5,708,-0.08054198562,0.6910935738
2070,65,3.1,3.5,1492,0.6173339812,0.2863013699
2070,66,3.9,3.5,939,0.1515869132,0.8881469115
2070,68,1.7,4.3,860,-0.03806152295,0.9274193548
2070,69,4.0,3.6,298,-0.1954833998,0.910022779
2070,70,3.0,3.0,1139,-0.1092040974,0.9213759214
2070,71,3.0,3.0,953,-1.355712893,0.7065948856
2070,72,3.1,3.4,544,-0.2279785193,0.9400705053
2070,74,1.8,3.1,563,-0.00590819813,0.9163952226
2070,77,3.2,3.7,998,0.4104980503,0.8981900452
2070,78,2.0,3.3,250,-0.1454101608,0.7906705539
2070,79,2.6,2.7,342,-1.277734375,0.9522546419
2070,80,2.0,3.2,984,0.1309814479,0.926943308
2070,81,2.3,3.0,934,1.418627925,0.8147699758
2070,83,2.6,3.0,758,-0.09548340126,0.03362391034
2070,84,3.0,3.6,962,-0.09143066137,0.8937947494
2070,85,1.7,4.3,899,0.4942871069,0.1822570911
2070,86,1.7,4.3,890,0.6896240209,0.2035714286
2070,87,2.8,3.5,771,0.1275146536,0.5820568928
2070,88,3.0,3.2,475,-0.4569580102,0.8685897436
2070,89,2.8,3.1,627,1.074243164,0.8456117873
2070,90,3.4,3.1,503,0.00190429476,0.7955082742
2070,92,2.9,3.4,785,0.04638672224,0.250293772
2070,95,2.9,3.2,808,-0.1718017569,0.8824940048
2070,96,3.0,2.8,886,-0.1072265608,0.5212765957
2070,99,2.7,3.0,788,-0.1093750049,0.8192090395
2070,100,4.3,4.2,1243,-0.09462890905,0.8443935927
2070,101,3.2,3.1,1803,0.1190185506,0.3837872071
2070,103,3.1,3.0,483,-0.1328369126,0.8678362573
2070,104,2.1,3.2,353,-0.1509765567,0.923627685
2070,105,3.2,3.2,769,-0.1111083938,0.9430232558
2070,107,3.4,3.2,707,-0.1059082041,0.9402628435
2070,109,3.2,3.5,1258,0.03857422358,0.5303593556
2070,110,3.2,2.9,730,0.0214355515,0.9390547264
2070,111,2.7,3.2,1138,0.07856445336,0.8142340169
2070,114,2.9,3.0,914,0.78583984,0.1416613007
2070,117,1.7,4.2,947,0.05039062812,0.06275421267
2070,119,2.5,3.0,1002,-0.6708007797,0.2081005587
2104,64,3.0,1.0,487,0.01608886618,0.6346456693
2104,67,1.2,3.0,584,-0.01760253738,0.6974789916
2104,68,3.0,1.3,410,-0.04526366754,0.6258714175
2104,71,3.0,4.7,666,-0.00573730419,0.627027027
2104,74,1.2,3.0,317,0.01596679548,0.6904564315
2104,75,1.3,2.9,400,-0.01726074047,0.6895368782
2104,79,3.0,1.4,493,-0.07377929874,0.6608
2104,82,3.0,4.7,839,-0.05366211362,0.6672077922
2104,83,1.2,3.0,286,-0.2170654339,0.6242331288
2104,84,3.1,1.2,419,-0.00161132822,0.6720779221
2104,85,3.0,4.8,199,-0.02807616952,0.6470588235
2104,87,1.2,3.0,1121,0.2366699207,0.7013422819
2104,88,3.0,1.3,192,-0.2485839814,0.7087136929
2104,91,3.0,5.0,1403,0.5804443322,0.7167832168
2104,95,1.4,3.0,323,-0.2816162123,0.5890909091
2104,97,3.0,4.7,504,-0.07678222868,0.6612244898
2104,98,3.0,1.2,439,-0.02380370862,0.6726677578
2104,99,3.0,1.3,462,0.00288085897,0.6438569207
2104,101,3.0,1.3,456,0.02871094419,0.6920529801
2104,102,3.0,4.7,401,-0.1245605448,0.6434782609
2104,104,1.2,3.0,1869,0.00637206951,0.6693418941
2104,109,3.0,1.2,197,-0.03034667671,0.6534810127
2104,112,3.0,4.9,469,-0.04836425307,0.6336939722
2104,117,3.0,1.1,410,0.02145995945,0.6806722689
2104,119,1.2,3.0,420,-0.01005859282,0.5994065282
2110,61,3.1,2.0,1477,0.415087889,0.9239574816
2110,63,2.4,3.0,464,-0.02832031178,0.9584352078
2110,65,2.3,3.1,857,-0.5466552729,0.9114703618
2110,66,3.6,3.7,1298,-0.01572265599,0.8998527246
2110,67,3.4,3.4,1099,-0.04860839481,0.9021986353
2110,68,3.2,4.2,1099,0.06440429068,0.8438634713
2110,69,1.2,4.8,580,-0.1678222647,0.9446202532
2110,70,2.5,3.7,1668,0.1432128919,0.940698619
2110,71,3.0,2.6,384,-0.225317381,0.9233176839
2110,74,3.0,2.1,692,1.026904295,0.8890742285
2110,76,3.6,4.2,1546,1.170190427,0.8630952381
2110,78,4.2,4.7,2045,-0.1673339784,0.918469218
2110,80,3.1,4.2,402,-0.1340820288,0.9591527988
2110,84,2.9,2.7,573,-0.2023925831,0.9331329827
2110,85,1.9,3.5,752,-0.0417968742,0.9177679883
2110,86,1.4,4.1,1080,0.0333740195,0.8531571219
2110,87,3.1,4.2,2677,0.529003901,0.9392655367
2110,90,2.7,2.3,1328,0.2337158181,0.9492753623
2110,92,4.2,3.7,1150,0.2807128907,0.9430656934
2110,93,2.6,3.3,1929,0.1211914115,0.9547445255
2110,95,3.3,4.4,1098,0.03193359738,0.9288762447
2110,97,2.6,2.6,1304,0.218188473,0.8823529412
2110,99,2.3,2.9,479,0.00405273185,0.9443954104
2110,100,4.3,3.2,380,-0.01262207034,0.8896952104
2110,101,3.1,3.8,1774,0.681127931,0.9353312303
2110,102,3.1,2.2,923,0.1404052677,0.9301634473
2110,103,3.1,2.1,1614,0.7636718722,0.9520123839
2110,104,2.9,2.2,3046,0.3999023385,0.9111111111
2110,106,3.8,3.8,530,-0.1969970713,0.9566587864
2110,110,2.0,2.7,2006,0.5512939398,0.9203125
2110,111,3.1,1.7,584,0.01765136407,0.9651741294
2110,112,1.2,4.6,507,-0.1742919872,0.8658718331
2110,115,2.7,2.2,1202,0.6849121082,0.8790436006
2110,116,2.0,3.3,2129,0.0981689497,0.92431562
2110,118,2.9,2.1,714,-0.03625488012,0.9546539379
2121,0,1.7,4.4,329,-0.03742675398,0.8920308483
2121,1,4.3,4.3,1176,-0.02519531082,0.9635036496
2121,2,4.3,4.4,1406,0.06550292261,0.8906048906
2121,5,1.2,2.9,2470,0.2796142487,0.8959390863
2121,7,4.7,3.0,707,-0.00180664131,0.9026217228
2121,8,4.3,1.7,1070,-0.02934570147,0.9340369393
2121,10,1.8,4.2,665,-0.01855468649,0.9738562092
2121,12,4.2,1.4,1118,0.01872559298,0.9530638853
2121,13,4.8,3.7,525,0.4469482455,0.8873239437
2121,17,3.8,4.7,1226,0.00947265436,0.9428950863
2121,20,2.5,4.9,954,-0.09545898552,0.9329032258
2121,21,2.2,2.0,1406,0.0905761717,0.9285714286
2121,22,3.3,4.3,876,-0.04724121705,0.9455252918
2121,23,3.3,4.4,1192,0.115527351,0.9460526316
2121,26,1.7,4.4,1378,0.2534667975,0.9328947368
2121,29,3.0,3.0,2109,0.07006835363,0.9058355438
2121,30,2.3,3.6,169,-0.07380371088,0.8974205159
2121,32,1.6,4.5,1090,-0.01130370986,0.912371134
2121,33,1.7,2.0,1135,0.08791503885,0.8928121059
2121,35,1.8,4.2,1277,0.4233886742,0.9570871261
2121,36,1.0,3.9,1277,0.1196044919,0.953002611
2121,37,3.0,4.1,1515,0.1102050759,0.9282051282
2121,39,2.6,4.7,905,0.2302246038,0.9482758621
2121,40,2.2,4.6,1206,0.3951904282,0.904791537
2121,41,3.0,5.0,1158,0.2293212837,0.9316522893
2121,43,3.0,4.5,833,0.0441894575,0.8146718147
2121,45,1.9,4.1,536,-0.118945312,0.9050064185
2121,47,4.2,5.0,1888,0.6229736279,0.8173076923
2121,48,4.3,4.4,1253,0.3238281307,0.9237726098
2121,49,5.0,5.0,642,-0.447021478,0.9164556962
2121,52,1.7,4.4,981,0.2508056645,0.925831202
